message|is_spam
I’ll help 20 people on how to earn $50k or more within 72hours from the Crypto Market, but you’ll pay me a 10% of your profit when you receive it. If interested, send me a direct message. For more information…contact via WhatsApp+1 (865) 240-1369|True
I’ll teach 15 people, how to make a profit of $15k or more from the crypto market within a week interval , but you will pay me 10% commission when you’ve made the profit. message me to know how  via WhatsApp   +1 (217) 803‑7204|True
I'll help 10 people on how to earn $20,000 or more in just 3days from the crypto market. But you will pay me 10% commission when you receive your profit. If interested send me a direct message, for more information.|True
within 3days but you will give me 10% of your profit immediately you receive it|True
Estamos em busca de um dev Sr Full Stack com boa expertise em front. É para uma startup americana / canadense na área de finanças descentralizada (DeFi) e data analytics em blockchains. Salário de R$15k a R$35k dependendo do nível. |True
Temos uma vaga para Developer em tempo integral, 100% remoto.|True
temos uma vaga para CTO em uma grande empresa crypto de Bem Estar (Wellness).|True
Estou procurando alguem com experiencia em crypto e com ingles fluente para a w3bchain, uma agencia de crypto focada em marketing!|True
Estamos procurando um coordenador e/ou gerente de projetos para dividir a organização do projeto comigo. Aceitamos backgrounds variados, o principal é a vontade de aprender e já ter algum conhecimento sobre web3 e ReFi.|True
A Crypto Jr. está em busca de novos talentos que desejam aprender e contribuir com a comunidade Web3. Se você tem interesse, acesse agora https://cryptojr.org/processo-seletivo-cryptojr/ e saiba mais sobre nosso processo seletivo.|True
Estou a procura de designer para animação 3D e implantação no unit projeto de 3D Polygon para um game mobile com todos os assets produzidos|True
Grande empresa está desenvolvendo um projeto de apresentação. Nossa equipe precisa de um UI Designer pra auxiliar na criação de interfaces que serão colocadas para interação.|True
Trabalho pontual com urgência para quem manja de Unity.
O projeto é desenvolver uma apresentação digital interativa para uma empresa.|True
Glow (https://glow.app/) is  looking to bring on a part-time community manager to help them grow our social media accounts and make sure that they have a happy supported community.|True
Estou contratando um Marketing Manager com experiência em Product Marketing. O projeto é Archimedes Finance (https://archimedesfi.com/), um lending e borrowing marketplace.|True
Estamos em busca de um designer Junior 2 ou Junior 3 para trabalhar em período integral (9h as 18h, de segunda a sexta) no formato Home Office. Temos um centro de capacitação próprio, plataforma de curso voltada para a equipe, treinamentos semanais e etc.|True
Estamos em busca de Vendedores / Representantes Comerciais para trabalhar de forma fixa e integral em agência.|True
Vaga disponível para quem manja de Unreal, para uma empresa conhecida. Me chama no PV|True
Estamos à procura de pessoas que sejam tão apaixonadas pelo mundo dos criptoativos quanto nós. Esse trabalho é para aqueles que desejam passar o dia imerso nos principais projetos do espaço cripto. É necessário conhecimento profundo do ambiente de criptomoedas. Isso inclui fatores técnicos e econômicos, bem como elementos específicos, NFTs, suas utilidades, o mercado DeFi ou as diferentes chains. Nosso candidato ideal é um pensador analítico, confortável com pontos de vista contraditórios e com suas opiniões sendo desafiadas, conseguindo extrair dados e insights a partir delas. Formação quantitativa é grande vantagem. Deve ser proficiente em inglês e ter fortes habilidades de comunicação escrita.|True
